no,source,height,exp,cat,datetime,time2,datetime2,time,tod,b1,b2,b3,m1,m2,m3,BB,roundBB,MT,Ta,MT-Ta,BB-Ta,Ta,solrad,wind,roundBB2,solrad2
1,1Sun.csv,1,sun,1sun,2015/02/25 00:00,12:55:01,2015/02/25 12:55,12:55:00 pm,2,43.639,42.023,45.039,40.216,40.771,40.992,43.567,44,40.65966667,32.7,7.96,10.87,32.7,968,3.1,6,11
2,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:00:01,2015/02/25 13:00,1:00:00 pm,2,43.701,41.898,45.537,40.216,40.21,40.246,43.712,44,40.224,33.1,7.12,10.61,33.1,968,3.1,7,0
3,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:05:01,2015/02/25 13:05,1:05:00 pm,2,43.453,41.338,45.537,40.403,40.148,40.246,43.44266667,43,40.26566667,32.9,7.37,10.54,32.9,968,3.6,8,12
4,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:10:01,2015/02/25 13:10,1:10:00 pm,2,43.39,41.338,45.599,40.216,40.272,40.308,43.44233333,43,40.26533333,32.9,7.37,10.54,32.9,969,3.1,9,10
5,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:15:01,2015/02/25 13:15,1:15:00 pm,2,43.328,41.026,45.537,40.216,40.521,40.93,43.297,43,40.55566667,33.1,7.46,10.2,33.1,963,3.6,10,11
6,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:20:01,2015/02/25 13:20,1:20:00 pm,2,44.137,42.397,46.47,40.279,41.082,42.794,44.33466667,44,41.385,33.2,8.19,11.13,33.2,965,2.2,11,14
7,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:25:01,2015/02/25 13:25,1:25:00 pm,2,44.013,41.898,46.283,40.528,40.958,42.732,44.06466667,44,41.406,33.4,8.01,10.66,33.4,962,1.8,12,18
8,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:30:01,2015/02/25 13:30,1:30:00 pm,2,44.51,42.708,46.967,41.026,41.643,44.596,44.72833333,45,42.42166667,33.6,8.82,11.13,33.6,961,3.6,13,24
9,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:35:01,2015/02/25 13:35,1:35:00 pm,2,43.764,41.836,46.221,40.963,40.771,42.049,43.94033333,44,41.261,33.2,8.06,10.74,33.2,959,3.6,14,27
10,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:40:01,2015/02/25 13:40,1:40:00 pm,2,44.137,42.085,46.408,40.963,40.895,42.173,44.21,44,41.34366667,33,8.34,11.21,33,947,1.8,15,39
11,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:45:01,2015/02/25 13:45,1:45:00 pm,2,43.515,41.088,45.723,41.088,41.207,42.235,43.442,43,41.51,33.4,8.11,10.04,33.4,943,4,16,80
12,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:50:01,2015/02/25 13:50,1:50:00 pm,2,43.079,40.839,45.226,40.279,40.958,42.111,43.048,43,41.116,33.7,7.42,9.35,33.7,947,4.5,17,121
13,1Sun.csv,1,sun,1sun,2015/02/25 00:00,13:55:01,2015/02/25 13:55,1:55:00 pm,2,44.013,42.272,46.718,40.59,41.643,43.478,44.33433333,44,41.90366667,34,7.9,10.33,34,948,2.7,18,114
14,1Sun.csv,1,sun,1sun,2015/02/25 00:00,14:00:01,2015/02/25 14:00,2:00:00 pm,2,43.453,41.151,45.972,41.212,41.705,42.794,43.52533333,44,41.90366667,34,7.9,9.53,34,936,1.8,19,166
