cat,exp,height,datetime,BB1,BB2,BBav,NJ_tm,NJ_pl,RL_tm
sun0,sun,0,2024/06/08 13:11,23.847,,23.847,22.8,27,23.1
sun0,sun,0,2024/06/08 13:31,32.218,,32.218,26.6,35.5,28.7
sun0,sun,0,2024/06/08 13:51,31.032,,31.032,,,
sun0,sun,0,2024/06/08 14:11,26.098,,26.098,29.5,31.3,38.9
sun0,sun,0,2024/06/08 14:31,35.899,,35.899,28,38.3,28.6
sun0,sun,0,2024/06/08 14:51,29.409,,29.409,,,
sun0,sun,0,2024/06/08 15:11,28.16,,28.16,26.5,35.4,27.3
sun0,sun,0,2024/06/08 15:31,31.407,,31.407,25.1,32.9,25.3
sun0,sun,0,2024/06/08 15:51,25.098,,25.098,,,
sun0,sun,0,2024/06/08 16:11,25.785,,25.785,25,20.7,26.9
sun0,sun,0,2024/06/08 16:31,28.097,,28.097,23.4,18.3,24.8
shade0,shade,0,2024/06/09 10:11,17.903,17.837,17.87,17,17.2,18.5
shade0,shade,0,2024/06/09 10:31,16.463,16.586,16.5245,16.4,14.6,15.7
shade0,shade,0,2024/06/09 10:51,15.649,15.647,15.648,,,
shade0,shade,0,2024/06/09 11:11,16.087,16.148,16.1175,15.1,14.9,15.6
shade0,shade,0,2024/06/09 11:31,16.463,16.461,16.462,15.3,15.5,16.1
shade0,shade,0,2024/06/09 11:51,17.152,17.086,17.119,,,
shade0,shade,0,2024/06/09 12:11,17.653,17.525,17.589,15.8,15.6,16.5
shade0,shade,0,2024/06/09 12:31,17.778,17.587,17.6825,15.9,15.9,16.9
shade0,shade,0,2024/06/09 12:51,17.778,17.65,17.714,,,
shade0,shade,0,2024/06/09 13:11,17.528,17.399,17.4635,16.2,15.9,17.1
shade0,shade,0,2024/06/09 13:31,17.027,16.836,16.9315,17.2,16.1,17.9
dap0,dappled,0,2024/06/10 10:11,18.404,18.526,18.465,17.4,17.5,18.9
dap0,dappled,0,2024/06/10 10:31,18.279,17.086,17.6825,16.8,16.9,18.5
dap0,dappled,0,2024/06/10 10:51,18.905,18.275,18.59,,,
dap0,dappled,0,2024/06/10 11:11,19.781,18.463,19.122,21.8,18.2,20.3
dap0,dappled,0,2024/06/10 11:31,21.971,20.715,21.343,21,18.5,19.6
dap0,dappled,0,2024/06/10 11:51,21.721,23.404,22.5625,,,
dap0,dappled,0,2024/06/10 12:11,24.348,23.404,23.876,23.8,24,29.1
dap0,dappled,0,2024/06/10 12:31,28.035,25.092,26.5635,28.8,25.1,29.7
dap0,dappled,0,2024/06/10 12:51,24.097,24.342,24.2195,,,
dap0,dappled,0,2024/06/10 13:11,21.783,21.778,21.7805,23,21.6,25.1
dap0,dappled,0,2024/06/10 13:31,21.158,21.09,21.124,21.4,19.8,22.2
